ご提示いただいた画像「S3.png」に基づき、14階建てマンション「S-3棟（南向き）」のすべての部屋データをテキスト形式（表形式）で出力します。

各項目の単位は、面積が平方メートル（㎡）、価格が万円です。

### S-3棟（南向き） 部屋データ一覧

| 階数 | 部屋番号 | タイプ | 面積 | 価格 |
| | S3-6-1023 | S3-6 | 71.08 | 5,590 |
| | S3-7-1024 | S3-7 | 71.92 | 5,650 |
| | S3-8-1025 | S3-8 | 80.05 | 7,170 |
| **9階** | S3-1-918 | S3-1 | 71.92 | 5,700 |
| | S3-2-919 | S3-2 | 71.92 | 5,700 |
| | S3-3-920 | S3-3 | 71.92 | 5,700 |
| | S3-4-921 | S3-4 | 71.92 | 5,700 |
| | S3-5-922 | S3-5 | 71.08 | 5,550 |
| | S3-6-923 | S3-6 | 71.08 | 5,550 |
| | S3-7-924 | S3-7 | 71.92 | 5,620 |
| | S3-8-925 | S3-8 | 80.05 | 7,130 |
| **8階** | S3-1-818 | S3-1 | 71.92 | 5,670 |
| | S3-2-819 | S3-2 | 71.92 | 5,670 |
| | S3-3-820 | S3-3 | 71.92 | 5,670 |
| | S3-4-821 | S3-4 | 71.92 | 5,670 |
| | S3-5-822 | S3-5 | 71.08 | 5,520 |
| | S3-6-823 | S3-6 | 71.08 | 5,520 |
| | S3-7-824 | S3-7 | 71.92 | 5,590 |
| | S3-8-825 | S3-8 | 80.05 | 7,100 |
| **7階** | S3-1-718 | S3-1 | 71.92 | 5,630 |
| | S3-2-719 | S3-2 | 71.92 | 5,630 |
| | S3-3-720 | S3-3 | 71.92 | 5,630 |
| | S3-4-721 | S3-4 | 71.92 | 5,630 |
| | S3-5-722 | S3-5 | 71.08 | 5,490 |
| | S3-6-723 | S3-6 | 71.08 | 5,490 |
| | S3-7-724 | S3-7 | 71.92 | 5,550 |
| | S3-8-725 | S3-8 | 80.05 | 7,060 |
| **6階** | S3-1-618 | S3-1 | 71.92 | 5,600 |
| | S3-2-619 | S3-2 | 71.92 | 5,600 |
| | S3-3-620 | S3-3 | 71.92 | 5,600 |
| | S3-4-621 | S3-4 | 71.92 | 5,600 |
| | S3-5-622 | S3-5 | 71.08 | 5,460 |
| | S3-6-623 | S3-6 | 71.08 | 5,460 |
| | S3-7-624 | S3-7 | 71.92 | 5,520 |
| | S3-8-625 | S3-8 | 80.05 | 7,020 |
| **5階** | S3-1-518 | S3-1 | 71.92 | 5,570 |
| | S3-2-519 | S3-2 | 71.92 | 5,570 |
| | S3-3-520 | S3-3 | 71.92 | 5,570 |
| | S3-4-521 | S3-4 | 71.92 | 5,570 |
| | S3-5-522 | S3-5 | 71.08 | 5,420 |
| | S3-6-523 | S3-6 | 71.08 | 5,420 |
| | S3-7-524 | S3-7 | 71.92 | 5,490 |
| | S3-8-525 | S3-8 | 80.05 | 6,990 |
| **4階** | S3-1-418 | S3-1 | 71.92 | 5,540 |
| | S3-2-419 | S3-2 | 71.92 | 5,540 |
| | S3-3-420 | S3-3 | 71.92 | 5,540 |
| | S3-4-421 | S3-4 | 71.92 | 5,540 |
| | S3-5-422 | S3-5 | 71.08 | 5,390 |
| | S3-6-423 | S3-6 | 71.08 | 5,390 |
| | S3-7-424 | S3-7 | 71.92 | 5,460 |
| | S3-8-425 | S3-8 | 80.05 | 6,950 |
| **3階** | S3-1-318 | S3-1 | 71.92 | 5,500 |
| | S3-2-319 | S3-2 | 71.92 | 5,500 |
| | S3-3-320 | S3-3 | 71.92 | 5,500 |
| | S3-4-321 | S3-4 | 71.92 | 5,500 |
| | S3-5-322 | S3-5 | 71.08 | 5,360 |
| | S3-6-323 | S3-6 | 71.08 | 5,360 |
| | S3-7-324 | S3-7 | 71.92 | 5,420 |
| | S3-8-325 | S3-8 | 80.05 | 6,910 |
| **2階** | S3-1-218 | S3-1 | 71.92 | 5,470 |
| | S3-2-219 | S3-2 | 71.92 | 5,470 |
| | S3-3-220 | S3-3 | 71.92 | 5,470 |
| | S3-4-221 | S3-4 | 71.92 | 5,470 |
| | S3-5-222 | S3-5 | 71.08 | 5,330 |
| | S3-6-223 | S3-6 | 71.08 | 5,330 |
| | S3-7-224 | S3-7 | 71.92 | 5,390 |
| | - | エントランス | - | - |
| **1階** | S3-1g-118 | S3-1 | 71.92 | 5,420 |
| | S3-2g-119 | S3-2 | 71.92 | 5,370 |
| | S3-3g-120 | S3-3 | 71.92 | 5,370 |
| | S3-4g-121 | S3-4 | 71.92 | 5,370 |
| | - | 共用 | - | - |
| | - | 共用 | - | - |
| | - | 共用 | - | - |
| | - | エントランス | - | - |

