ご指定の画像ソース（N3-3棟 南向きの価格表）に基づき、14階建てマンションの全住戸データをテキスト形式で出力します。

価格の単位は明記されていませんが、一般的に万円単位と考えられます。また、1階および2階の一部は共用施設やエントランスとなっています。

### N3棟（南向き） 部屋データ一覧

| 階 | 部屋番号 | タイプ | 専有面積 | 価格 |
| | N3-8-821 | N3-8 | 68.85 m² | 5,140 |
| | N3-9-822 | N3-9 | 54.25 m² | 4,030 |
| | N3-10-823 | N3-10 | 64.22 m² | 4,780 |
| | N3-11-824 | N3-11 | 81.42 m² | 6,660 |
| **7階** | N3-1-714 | N3-1 | 69.60 m² | 5,240 |
| | N3-2-715 | N3-2 | 69.60 m² | 5,240 |
| | N3-3-716 | N3-3 | 69.60 m² | 5,240 |
| | N3-4-717 | N3-4 | 69.60 m² | 5,240 |
| | N3-5-718 | N3-5 | 69.60 m² | 5,240 |
| | N3-6-719 | N3-6 | 69.60 m² | 5,240 |
| | N3-7-720 | N3-7 | 69.60 m² | 5,240 |
| | N3-8-721 | N3-8 | 68.85 m² | 5,100 |
| | N3-9-722 | N3-9 | 54.25 m² | 4,000 |
| | N3-10-723 | N3-10 | 64.22 m² | 4,760 |
| | N3-11-724 | N3-11 | 81.42 m² | 6,570 |
| **6階** | N3-1-614 | N3-1 | 69.60 m² | 5,210 |
| | N3-2-615 | N3-2 | 69.60 m² | 5,210 |
| | N3-3-616 | N3-3 | 69.60 m² | 5,210 |
| | N3-4-617 | N3-4 | 69.60 m² | 5,210 |
| | N3-5-618 | N3-5 | 69.60 m² | 5,210 |
| | N3-6-619 | N3-6 | 69.60 m² | 5,210 |
| | N3-7-620 | N3-7 | 69.60 m² | 5,210 |
| | N3-8-621 | N3-8 | 68.85 m² | 5,070 |
| | N3-9-622 | N3-9 | 54.25 m² | 3,980 |
| | N3-10-623 | N3-10 | 64.22 m² | 4,680 |
| | N3-11-624 | N3-11 | 81.42 m² | 6,540 |
| **5階** | N3-1-514 | N3-1 | 69.60 m² | 5,130 |
| | N3-2-515 | N3-2 | 69.60 m² | 5,130 |
| | N3-3-516 | N3-3 | 69.60 m² | 5,180 |
| | N3-4-517 | N3-4 | 69.60 m² | 5,180 |
| | N3-5-518 | N3-5 | 69.60 m² | 5,180 |
| | N3-6-519 | N3-6 | 69.60 m² | 5,180 |
| | N3-7-520 | N3-7 | 69.60 m² | 5,180 |
| | N3-8-521 | N3-8 | 68.85 m² | 5,040 |
| | N3-9-522 | N3-9 | 54.25 m² | 3,910 |
| | N3-10-523 | N3-10 | 64.22 m² | 4,650 |
| | N3-11-524 | N3-11 | 81.42 m² | 6,500 |
| **4階** | N3-1-414 | N3-1 | 69.60 m² | 5,100 |
| | N3-2-415 | N3-2 | 69.60 m² | 5,100 |
| | N3-3-416 | N3-3 | 69.60 m² | 5,100 |
| | N3-4-417 | N3-4 | 69.60 m² | 5,100 |
| | N3-5-418 | N3-5 | 69.60 m² | 5,150 |
| | N3-6-419 | N3-6 | 69.60 m² | 5,150 |
| | N3-7-420 | N3-7 | 69.60 m² | 5,100 |
| | N3-8-421 | N3-8 | 68.85 m² | 4,960 |
| | N3-9-422 | N3-9 | 54.25 m² | 3,850 |
| | N3-10-423 | N3-10 | 64.22 m² | 4,570 |
| | N3-11-424 | N3-11 | 81.42 m² | 6,410 |
| **3階** | N3-1-314 | N3-1 | 69.60 m² | 5,060 |
| | N3-2-315 | N3-2 | 69.60 m² | 5,060 |
| | N3-3-316 | N3-3 | 69.60 m² | 5,060 |
| | N3-4-317 | N3-4 | 69.60 m² | 5,060 |
| | N3-5-318 | N3-5 | 69.60 m² | 5,060 |
| | N3-6-319 | N3-6 | 69.60 m² | 5,060 |
| | N3-7-320 | N3-7 | 69.60 m² | 5,060 |
| | N3-8-321 | N3-8 | 68.85 m² | 4,880 |
| | N3-9-322 | N3-9 | 54.25 m² | 3,810 |
| | N3-10-323 | N3-10 | 64.22 m² | 4,540 |
| | N3-11-324 | N3-11 | 81.42 m² | 6,380 |
| **2階** | N3-1-214 | N3-1 | 69.60 m² | 5,030 |
| | N3-2-215 | N3-2 | 69.60 m² | 5,030 |
| | N3-3-216 | N3-3 | 69.60 m² | 4,980 |
| | N3-4-217 | N3-4 | 69.60 m² | 4,980 |
| | N3-5-218 | N3-5 | 69.60 m² | 4,980 |
| | N3-6-219 | N3-6 | 69.60 m² | 4,930 |
| | N3-7-220 | N3-7 | 69.60 m² | 4,930 |
| | N3-8-221 | N3-8 | 68.85 m² | 4,800 |
| | N3-9-222 | N3-9 | 54.25 m² | 3,730 |
| | N3-10-223 | N3-10 | 64.22 m² | 4,460 |
| | (11列目) | - | - | エントランス |
| **1階** | N3-1-114 | N3-1g | 69.60 m² | 5,030 |
| | N3-2-115 | N3-2g | 69.60 m² | 5,030 |
| | N3-3-116 | N3-3g | 69.60 m² | 4,980 |
| | N3-4-117 | N3-4g | 69.60 m² | 4,980 |
| | N3-5-118 | N3-5g | 69.60 m² | 4,980 |
| | N3-6-119 | N3-6g | 69.60 m² | 4,980 |
| | N3-7-120 | N3-7g | 69.60 m² | 4,980 |
| | (8-10列目) | - | - | 共用 |
| | (11列目) | - | - | エントランス |

