マンション全住戸予定価格詳細レポート

1. 本レポートの概要と構成

本レポートは、提供された価格表資料（21〜24ページ相当）に基づき、N敷地（N-1〜N-4棟）およびS敷地（S-1〜S-4棟）における全14階、全住戸の価格情報を網羅的にまとめたものです。不動産情報管理の観点から、全住戸の価格、専有面積、住戸タイプを正確に転記しています。

【重要事項】

* 本資料に記載されている価格は**「現時点での予定価格」**です。
* 最終的な価格表は、設計と詳細部分の整合を確認した上で、7/18-7/19に開催される説明会資料にて確定されます。必ず最新の説明会資料をご確認ください。
* 各住戸の間取りや間数は、住戸選定説明会資料にて提示されます。
* 本計画は行政協議・施工・計画等により変更となる場合があります。

2. S敷地（南敷地）住戸詳細一覧表

S敷地（南敷地）の住戸は、S-1棟からS-4棟まで全棟「南向き」の配置となっています。

S-1棟（南向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
8階	S1-4-804	S1-4	50.02	3,860
8階	S1-5-805	S1-5	50.02	3,940
8階	S1-6-806	S1-6	47.38	3,730
8階	S1-7-807	S1-7	61.80	4,870
8階	S1-8-808	S1-8	63.86	5,030
7階	S1-1-701	S1-1	71.10	5,920
7階	S1-2-702	S1-2	43.26	3,390
7階	S1-3-703	S1-3	50.02	3,840
7階	S1-4-704	S1-4	50.02	3,840
7階	S1-5-705	S1-5	50.02	3,920
7階	S1-6-706	S1-6	47.38	3,710
7階	S1-7-707	S1-7	61.80	4,840
7階	S1-8-708	S1-8	63.86	5,000
6階	S1-1-601	S1-1	71.10	5,890
6階	S1-2-602	S1-2	43.26	3,370
6階	S1-3-603	S1-3	50.02	3,820
6階	S1-4-604	S1-4	50.02	3,820
6階	S1-5-605	S1-5	50.02	3,900
6階	S1-6-606	S1-6	47.38	3,690
6階	S1-7-607	S1-7	61.80	4,810
6階	S1-8-608	S1-8	63.86	4,970
5階	S1-1-501	S1-1	71.10	5,860
5階	S1-2-502	S1-2	43.26	3,350
5階	S1-3-503	S1-3	50.02	3,790
5階	S1-4-504	S1-4	50.02	3,790
5階	S1-5-505	S1-5	50.02	3,870
5階	S1-6-506	S1-6	47.38	3,670
5階	S1-7-507	S1-7	61.80	4,790
5階	S1-8-508	S1-8	63.86	4,950
4階	S1-1-401	S1-1	71.10	5,820
4階	S1-2-402	S1-2	43.26	3,330
4階	S1-3-403	S1-3	50.02	3,770
4階	S1-4-404	S1-4	50.02	3,770
4階	S1-5-405	S1-5	50.02	3,850
4階	S1-6-406	S1-6	47.38	3,650
4階	S1-7-407	S1-7	61.80	4,760
4階	S1-8-408	S1-8	63.86	4,920
3階	S1-1-301	S1-1	71.10	5,790
3階	S1-2-302	S1-2	43.26	3,310
3階	S1-3-303	S1-3	50.02	3,750
3階	S1-4-304	S1-4	50.02	3,750
3階	S1-5-305	S1-5	50.02	3,830
3階	S1-6-306	S1-6	47.38	3,630
3階	S1-7-307	S1-7	61.80	4,730
3階	S1-8-308	S1-8	63.86	4,890
2階	S1-1-201	S1-1	71.10	5,760
2階	S1-2-202	S1-2	43.26	3,290
2階	S1-3-203	S1-3	50.02	3,730
2階	S1-4-204	S1-4	50.02	3,730
2階	S1-5-205	S1-5	50.02	3,810
2階	S1-6-206	S1-6	47.38	3,600
2階	S1-7-207	S1-7	61.80	4,700
2階	S1-8-208	S1-8	63.86	4,860
1階	S1-1g-101	S1-1g	71.10	5,810
1階	S1-2g-102	S1-2g	43.26	3,360
1階	S1-3g-103	S1-3g	50.02	3,790
1階	S1-4g-104	S1-4g	50.02	3,790
1階	S1-5g-105	S1-5g	50.02	3,820
1階	S1-6g-106	S1-6g	47.38	3,620
1階	S1-7g-107	S1-7g	61.80	4,710
1階	S1-8g-108	S1-8g	63.86	4,860

S-2棟（南向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	S2-1-1409	S2-1	71.10	6,170
14階	S2-2-1410	S2-2	43.26	3,540
14階	S2-3-1411	S2-3	50.02	4,010
14階	S2-4-1412	S2-4	50.02	4,010
14階	S2-5-1413	S2-5	50.02	4,090
14階	S2-6-1414	S2-6	47.38	3,880
14階	S2-7-1415	S2-7	61.80	5,060
14階	S2-8-1416	S2-8	63.86	5,230
14階	S2-9-1417	S2-9	61.80	5,060
13階	S2-1-1309	S2-1	71.10	6,110
13階	S2-2-1310	S2-2	43.26	3,510
13階	S2-3-1311	S2-3	50.02	3,980
13階	S2-4-1312	S2-4	50.02	3,980
13階	S2-5-1313	S2-5	50.02	4,060
13階	S2-6-1314	S2-6	47.38	3,840
13階	S2-7-1315	S2-7	61.80	5,010
13階	S2-8-1316	S2-8	63.86	5,180
13階	S2-9-1317	S2-9	61.80	5,010
12階	S2-1-1209	S2-1	71.10	6,080
12階	S2-2-1210	S2-2	43.26	3,490
12階	S2-3-1211	S2-3	50.02	3,950
12階	S2-4-1212	S2-4	50.02	3,950
12階	S2-5-1213	S2-5	50.02	4,030
12階	S2-6-1214	S2-6	47.38	3,820
12階	S2-7-1215	S2-7	61.80	4,980
12階	S2-8-1216	S2-8	63.86	5,150
12階	S2-9-1217	S2-9	61.80	4,980
11階	S2-1-1109	S2-1	71.10	6,050
11階	S2-2-1110	S2-2	43.26	3,470
11階	S2-3-1111	S2-3	50.02	3,930
11階	S2-4-1112	S2-4	50.02	3,930
11階	S2-5-1113	S2-5	50.02	4,010
11階	S2-6-1114	S2-6	47.38	3,800
11階	S2-7-1115	S2-7	61.80	4,950
11階	S2-8-1116	S2-8	63.86	5,120
11階	S2-9-1117	S2-9	61.80	4,950
10階	S2-1-1009	S2-1	71.10	6,020
10階	S2-2-1010	S2-2	43.26	3,450
10階	S2-3-1011	S2-3	50.02	3,910
10階	S2-4-1012	S2-4	50.02	3,910
10階	S2-5-1013	S2-5	50.02	3,990
10階	S2-6-1014	S2-6	47.38	3,780
10階	S2-7-1015	S2-7	61.80	4,930
10階	S2-8-1016	S2-8	63.86	5,090
10階	S2-9-1017	S2-9	61.80	4,930
9階	S2-1-909	S2-1	71.10	5,990
9階	S2-2-910	S2-2	43.26	3,430
9階	S2-3-911	S2-3	50.02	3,880
9階	S2-4-912	S2-4	50.02	3,880
9階	S2-5-913	S2-5	50.02	3,960
9階	S2-6-914	S2-6	47.38	3,760
9階	S2-7-915	S2-7	61.80	4,900
9階	S2-8-916	S2-8	63.86	5,060
9階	S2-9-917	S2-9	61.80	4,900
8階	S2-1-809	S2-1	71.10	5,950
8階	S2-2-810	S2-2	43.26	3,410
8階	S2-3-811	S2-3	50.02	3,860
8階	S2-4-812	S2-4	50.02	3,860
8階	S2-5-813	S2-5	50.02	3,940
8階	S2-6-814	S2-6	47.38	3,730
8階	S2-7-815	S2-7	61.80	4,870
8階	S2-8-816	S2-8	63.86	5,030
8階	S2-9-817	S2-9	61.80	4,870
7階	S2-1-709	S2-1	71.10	5,920
7階	S2-2-710	S2-2	43.26	3,390
7階	S2-3-711	S2-3	50.02	3,840
7階	S2-4-712	S2-4	50.02	3,840
7階	S2-5-713	S2-5	50.02	3,920
7階	S2-6-714	S2-6	47.38	3,710
7階	S2-7-715	S2-7	61.80	4,840
7階	S2-8-716	S2-8	63.86	5,000
7階	S2-9-717	S2-9	61.80	4,840
6階	S2-1-609	S2-1	71.10	5,890
6階	S2-2-610	S2-2	43.26	3,370
6階	S2-3-611	S2-3	50.02	3,820
6階	S2-4-612	S2-4	50.02	3,820
6階	S2-5-613	S2-5	50.02	3,900
6階	S2-6-614	S2-6	47.38	3,690
6階	S2-7-615	S2-7	61.80	4,810
6階	S2-8-616	S2-8	63.86	4,970
6階	S2-9-617	S2-9	61.80	4,810
5階	S2-1-509	S2-1	71.10	5,860
5階	S2-2-510	S2-2	43.26	3,350
5階	S2-3-511	S2-3	50.02	3,790
5階	S2-4-512	S2-4	50.02	3,790
5階	S2-5-513	S2-5	50.02	3,870
5階	S2-6-514	S2-6	47.38	3,670
5階	S2-7-515	S2-7	61.80	4,790
5階	S2-8-516	S2-8	63.86	4,950
5階	S2-9-517	S2-9	61.80	4,790
4階	S2-1-409	S2-1	71.10	5,820
4階	S2-2-410	S2-2	43.26	3,330
4階	S2-3-411	S2-3	50.02	3,770
4階	S2-4-412	S2-4	50.02	3,770
4階	S2-5-413	S2-5	50.02	3,850
4階	S2-6-414	S2-6	47.38	3,650
4階	S2-7-415	S2-7	61.80	4,760
4階	S2-8-416	S2-8	63.86	4,920
4階	S2-9-417	S2-9	61.80	4,760
3階	S2-1-309	S2-1	71.10	5,790
3階	S2-2-310	S2-2	43.26	3,310
3階	S2-3-311	S2-3	50.02	3,750
3階	S2-4-312	S2-4	50.02	3,750
3階	S2-5-313	S2-5	50.02	3,830
3階	S2-6-314	S2-6	47.38	3,630
3階	S2-7-315	S2-7	61.80	4,730
3階	S2-8-316	S2-8	63.86	4,890
3階	S2-9-317	S2-9	61.80	4,730
2階	S2-1-209	S2-1	71.10	5,760
2階	S2-2-210	S2-2	43.26	3,290
2階	S2-3-211	S2-3	50.02	3,730
2階	S2-4-212	S2-4	50.02	3,730
2階	S2-5-213	S2-5	50.02	3,810
2階	S2-6-214	S2-6	47.38	3,600
2階	S2-7-215	S2-7	61.80	4,700
2階	S2-8-216	S2-8	63.86	4,860
2階	S2-9-217	S2-9	61.80	4,700
1階	S2-1g-109	S2-1g	71.10	5,810
1階	S2-2g-110	S2-2g	43.26	3,360
1階	S2-3g-111	S2-3g	50.02	3,790
1階	S2-4g-112	S2-4g	50.02	3,790
1階	S2-5g-113	S2-5g	50.02	3,820
1階	S2-6g-114	S2-6g	47.38	3,620
1階	S2-7g-115	S2-7g	61.80	4,710
1階	S2-8g-116	S2-8g	63.86	4,860
1階	S2-9g-117	S2-9g	61.80	4,710

S-3棟（南向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	S3-1-1418	S3-1	71.92	5,880
14階	S3-2-1419	S3-2	71.92	5,880
14階	S3-3-1420	S3-3	71.92	5,880
14階	S3-4-1421	S3-4	71.92	5,880
14階	S3-5-1422	S3-5	71.08	5,740
14階	S3-6-1423	S3-6	71.08	5,740
14階	S3-7-1424	S3-7	71.92	5,800
14階	S3-8-1425	S3-8	80.05	7,340
13階	S3-1-1318	S3-1	71.92	5,830
13階	S3-2-1319	S3-2	71.92	5,830
13階	S3-3-1320	S3-3	71.92	5,830
13階	S3-4-1321	S3-4	71.92	5,830
13階	S3-5-1322	S3-5	71.08	5,680
13階	S3-6-1323	S3-6	71.08	5,680
13階	S3-7-1324	S3-7	71.92	5,750
13階	S3-8-1325	S3-8	80.05	7,280
12階	S3-1-1218	S3-1	71.92	5,800
12階	S3-2-1219	S3-2	71.92	5,800
12階	S3-3-1220	S3-3	71.92	5,800
12階	S3-4-1221	S3-4	71.92	5,800
12階	S3-5-1222	S3-5	71.08	5,650
12階	S3-6-1223	S3-6	71.08	5,650
12階	S3-7-1224	S3-7	71.92	5,720
12階	S3-8-1225	S3-8	80.05	7,240
11階	S3-1-1118	S3-1	71.92	5,770
11階	S3-2-1119	S3-2	71.92	5,770
11階	S3-3-1120	S3-3	71.92	5,770
11階	S3-4-1121	S3-4	71.92	5,770
11階	S3-5-1122	S3-5	71.08	5,620
11階	S3-6-1123	S3-6	71.08	5,620
11階	S3-7-1124	S3-7	71.92	5,690
11階	S3-8-1125	S3-8	80.05	7,200
10階	S3-1-1018	S3-1	71.92	5,730
10階	S3-2-1019	S3-2	71.92	5,730
10階	S3-3-1020	S3-3	71.92	5,730
10階	S3-4-1021	S3-4	71.92	5,730
10階	S3-5-1022	S3-5	71.08	5,590
10階	S3-6-1023	S3-6	71.08	5,590
10階	S3-7-1024	S3-7	71.92	5,650
10階	S3-8-1025	S3-8	80.05	7,170
9階	S3-1-918	S3-1	71.92	5,700
9階	S3-2-919	S3-2	71.92	5,700
9階	S3-3-920	S3-3	71.92	5,700
9階	S3-4-921	S3-4	71.92	5,700
9階	S3-5-922	S3-5	71.08	5,550
9階	S3-6-923	S3-6	71.08	5,550
9階	S3-7-924	S3-7	71.92	5,620
9階	S3-8-925	S3-8	80.05	7,130
8階	S3-1-818	S3-1	71.92	5,670
8階	S3-2-819	S3-2	71.92	5,670
8階	S3-3-820	S3-3	71.92	5,670
8階	S3-4-821	S3-4	71.92	5,670
8階	S3-5-822	S3-5	71.08	5,520
8階	S3-6-823	S3-6	71.08	5,520
8階	S3-7-824	S3-7	71.92	5,590
8階	S3-8-825	S3-8	80.05	7,100
7階	S3-1-718	S3-1	71.92	5,630
7階	S3-2-719	S3-2	71.92	5,630
7階	S3-3-720	S3-3	71.92	5,630
7階	S3-4-721	S3-4	71.92	5,630
7階	S3-5-722	S3-5	71.08	5,490
7階	S3-6-723	S3-6	71.08	5,490
7階	S3-7-724	S3-7	71.92	5,550
7階	S3-8-725	S3-8	80.05	7,060
6階	S3-1-618	S3-1	71.92	5,600
6階	S3-2-619	S3-2	71.92	5,600
6階	S3-3-620	S3-3	71.92	5,600
6階	S3-4-621	S3-4	71.92	5,600
6階	S3-5-622	S3-5	71.08	5,460
6階	S3-6-623	S3-6	71.08	5,460
6階	S3-7-624	S3-7	71.92	5,520
6階	S3-8-625	S3-8	80.05	7,020
5階	S3-1-518	S3-1	71.92	5,570
5階	S3-2-519	S3-2	71.92	5,570
5階	S3-3-520	S3-3	71.92	5,570
5階	S3-4-521	S3-4	71.92	5,570
5階	S3-5-522	S3-5	71.08	5,420
5階	S3-6-523	S3-6	71.08	5,420
5階	S3-7-524	S3-7	71.92	5,490
5階	S3-8-525	S3-8	80.05	6,990
4階	S3-1-418	S3-1	71.92	5,540
4階	S3-2-419	S3-2	71.92	5,540
4階	S3-3-420	S3-3	71.92	5,540
4階	S3-4-421	S3-4	71.92	5,540
4階	S3-5-422	S3-5	71.08	5,390
4階	S3-6-423	S3-6	71.08	5,390
4階	S3-7-424	S3-7	71.92	5,460
4階	S3-8-425	S3-8	80.05	6,950
3階	S3-1-318	S3-1	71.92	5,500
3階	S3-2-319	S3-2	71.92	5,500
3階	S3-3-320	S3-3	71.92	5,500
3階	S3-4-321	S3-4	71.92	5,500
3階	S3-5-322	S3-5	71.08	5,360
3階	S3-6-323	S3-6	71.08	5,360
3階	S3-7-324	S3-7	71.92	5,420
3階	S3-8-325	S3-8	80.05	6,910
2階	S3-1-218	S3-1	71.92	5,470
2階	S3-2-219	S3-2	71.92	5,470
2階	S3-3-220	S3-3	71.92	5,470
2階	S3-4-221	S3-4	71.92	5,470
2階	S3-5-222	S3-5	71.08	5,330
2階	S3-6-223	S3-6	71.08	5,330
2階	S3-7-224	S3-7	71.92	5,390
2階	-	-	-	エントランス
1階	S3-1g-118	S3-1g	71.92	5,420
1階	S3-2g-119	S3-2g	71.92	5,370
1階	S3-3g-120	S3-3g	71.92	5,370
1階	S3-4g-121	S3-4g	71.92	5,370
1階	-	共用	-	共用部
1階	-	共用	-	共用部
1階	-	共用	-	共用部
1階	-	エントランス	-	エントランス

S-4棟（南向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	S4-1-1426	S4-1	71.92	5,880
14階	S4-2-1427	S4-2	71.92	5,880
14階	S4-3-1428	S4-3	71.92	5,880
14階	S4-4-1429	S4-4	71.92	5,880
14階	S4-5-1430	S4-5	71.08	5,740
14階	S4-6-1431	S4-6	71.08	5,740
14階	S4-7-1432	S4-7	71.92	5,800
14階	S4-8-1433	S4-8	80.05	7,340
14階	S4-9-1434	S4-9	71.92	5,880
13階	S4-1-1326	S4-1	71.92	5,830
13階	S4-2-1327	S4-2	71.92	5,830
13階	S4-3-1328	S4-3	71.92	5,830
13階	S4-4-1329	S4-4	71.92	5,830
13階	S4-5-1330	S4-5	71.08	5,680
13階	S4-6-1331	S4-6	71.08	5,680
13階	S4-7-1332	S4-7	71.92	5,750
13階	S4-8-1333	S4-8	80.05	7,280
13階	S4-9-1334	S4-9	71.92	5,830
12階	S4-1-1226	S4-1	71.92	5,800
12階	S4-2-1227	S4-2	71.92	5,800
12階	S4-3-1228	S4-3	71.92	5,800
12階	S4-4-1229	S4-4	71.92	5,800
12階	S4-5-1230	S4-5	71.08	5,650
12階	S4-6-1231	S4-6	71.08	5,650
12階	S4-7-1232	S4-7	71.92	5,720
12階	S4-8-1233	S4-8	80.05	7,240
12階	S4-9-1234	S4-9	71.92	5,800
11階	S4-1-1126	S4-1	71.92	5,770
11階	S4-2-1127	S4-2	71.92	5,770
11階	S4-3-1128	S4-3	71.92	5,770
11階	S4-4-1129	S4-4	71.92	5,770
11階	S4-5-1130	S4-5	71.08	5,620
11階	S4-6-1131	S4-6	71.08	5,620
11階	S4-7-1132	S4-7	71.92	5,690
11階	S4-8-1133	S4-8	80.05	7,200
11階	S4-9-1134	S4-9	71.92	5,770
10階	S4-1-1026	S4-1	71.92	5,730
10階	S4-2-1027	S4-2	71.92	5,730
10階	S4-3-1028	S4-3	71.92	5,730
10階	S4-4-1029	S4-4	71.92	5,730
10階	S4-5-1030	S4-5	71.08	5,590
10階	S4-6-1031	S4-6	71.08	5,590
10階	S4-7-1032	S4-7	71.92	5,650
10階	S4-8-1033	S4-8	80.05	7,170
10階	S4-9-1034	S4-9	71.92	5,730
9階	S4-1-926	S4-1	71.92	5,700
9階	S4-2-927	S4-2	71.92	5,700
9階	S4-3-928	S4-3	71.92	5,700
9階	S4-4-929	S4-4	71.92	5,700
9階	S4-5-930	S4-5	71.08	5,550
9階	S4-6-931	S4-6	71.08	5,550
9階	S4-7-932	S4-7	71.92	5,620
9階	S4-8-933	S4-8	80.05	7,130
9階	S4-9-934	S4-9	71.92	5,700
8階	S4-1-826	S4-1	71.92	5,670
8階	S4-2-827	S4-2	71.92	5,670
8階	S4-3-828	S4-3	71.92	5,670
8階	S4-4-829	S4-4	71.92	5,670
8階	S4-5-830	S4-5	71.08	5,520
8階	S4-6-831	S4-6	71.08	5,520
8階	S4-7-832	S4-7	71.92	5,590
8階	S4-8-833	S4-8	80.05	7,100
8階	S4-9-834	S4-9	71.92	5,670
7階	S4-1-726	S4-1	71.92	5,630
7階	S4-2-727	S4-2	71.92	5,630
7階	S4-3-728	S4-3	71.92	5,630
7階	S4-4-729	S4-4	71.92	5,630
7階	S4-5-730	S4-5	71.08	5,490
7階	S4-6-731	S4-6	71.08	5,490
7階	S4-7-732	S4-7	71.92	5,550
7階	S4-8-733	S4-8	80.05	7,060
7階	S4-9-734	S4-9	71.92	5,630
6階	S4-1-626	S4-1	71.92	5,600
6階	S4-2-627	S4-2	71.92	5,600
6階	S4-3-628	S4-3	71.92	5,600
6階	S4-4-629	S4-4	71.92	5,600
6階	S4-5-630	S4-5	71.08	5,460
6階	S4-6-631	S4-6	71.08	5,460
6階	S4-7-632	S4-7	71.92	5,520
6階	S4-8-633	S4-8	80.05	7,020
6階	S4-9-634	S4-9	71.92	5,600
5階	S4-1-526	S4-1	71.92	5,570
5階	S4-2-527	S4-2	71.92	5,570
5階	S4-3-528	S4-3	71.92	5,570
5階	S4-4-529	S4-4	71.92	5,570
5階	S4-5-530	S4-5	71.08	5,420
5階	S4-6-531	S4-6	71.08	5,420
5階	S4-7-532	S4-7	71.92	5,490
5階	S4-8-533	S4-8	80.05	6,990
5階	S4-9-534	S4-9	71.92	5,570
4階	S4-1-426	S4-1	71.92	5,540
4階	S4-2-427	S4-2	71.92	5,540
4階	S4-3-428	S4-3	71.92	5,540
4階	S4-4-429	S4-4	71.92	5,540
4階	S4-5-430	S4-5	71.08	5,390
4階	S4-6-431	S4-6	71.08	5,390
4階	S4-7-432	S4-7	71.92	5,460
4階	S4-8-433	S4-8	80.05	6,950
4階	S4-9-434	S4-9	71.92	5,540
3階	S4-1-326	S4-1	71.92	5,500
3階	S4-2-327	S4-2	71.92	5,500
3階	S4-3-328	S4-3	71.92	5,500
3階	S4-4-329	S4-4	71.92	5,500
3階	S4-5-330	S4-5	71.08	5,360
3階	S4-6-331	S4-6	71.08	5,360
3階	S4-7-332	S4-7	71.92	5,420
3階	S4-8-333	S4-8	80.05	6,910
3階	S4-9-334	S4-9	71.92	5,500
2階	S4-1-226	S4-1	71.92	5,470
2階	S4-2-227	S4-2	71.92	5,470
2階	S4-3-228	S4-3	71.92	5,470
2階	S4-4-229	S4-4	71.92	5,470
2階	S4-5-230	S4-5	71.08	5,330
2階	S4-6-231	S4-6	71.08	5,330
2階	S4-7-232	S4-7	71.92	5,390
2階	S4-8-233	S4-8	80.05	6,860
2階	S4-9-234	S4-9	71.92	5,470
1階	S4-1g-122	S4-1g	71.92	5,520
1階	S4-2g-123	S4-2g	71.92	5,470
1階	S4-3g-124	S4-3g	71.92	5,470
1階	S4-4g-125	S4-4g	71.92	5,470
1階	S4-5g-126	S4-5g	71.08	5,330
1階	S4-6g-127	S4-6g	71.08	5,330
1階	S4-7g-128	S4-7g	71.92	5,390
1階	-	共用	-	共用部
1階	-	共用	-	共用部

3. N敷地（北敷地）住戸詳細一覧表

N敷地（北敷地）の住戸は、棟により西向きまたは東向きの配置となっています。

N-1棟（西向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	N1-3r-1404	N1-3r	78.30	6,330
14階	N1-4-1406	N1-4	69.60	5,330
14階	N1-5-1407	N1-5	64.72	4,850
14階	N1-6-1408	N1-6	64.72	4,850
13階	N1-2r-1302	N1-2r	78.30	6,270
13階	N1-3-1304	N1-3	71.92	5,450
13階	N1-4-1306	N1-4	69.60	5,270
13階	N1-5-1307	N1-5	64.72	4,800
13階	N1-6-1308	N1-6	64.72	4,650
12階	N1-1-1201	N1-1	84.22	6,600
12階	N1-2-1202	N1-2	71.92	5,420
12階	N1-3-1204	N1-3	71.92	5,420
12階	N1-4-1206	N1-4	69.60	5,240
12階	N1-5-1207	N1-5	64.72	4,690
12階	N1-6-1208	N1-6	64.72	4,620
11階	N1-1-1101	N1-1	84.22	6,560
11階	N1-2-1102	N1-2	71.92	5,380
11階	N1-3-1104	N1-3	71.92	5,380
11階	N1-4-1106	N1-4	69.60	5,160
11階	N1-5-1107	N1-5	64.72	4,670
11階	N1-6-1108	N1-6	64.72	4,600
10階	N1-1-1001	N1-1	84.22	6,520
10階	N1-2-1002	N1-2	71.92	5,350
10階	N1-3-1004	N1-3	71.92	5,350
10階	N1-4-1006	N1-4	69.60	5,080
10階	N1-5-1007	N1-5	64.72	4,640
10階	N1-6-1008	N1-6	64.72	4,570
9階	N1-1-901	N1-1	84.22	6,480
9階	N1-2-902	N1-2	71.92	5,320
9階	N1-3-904	N1-3	71.92	5,270
9階	N1-4-906	N1-4	69.60	5,050
9階	N1-5-907	N1-5	64.72	4,610
9階	N1-6-908	N1-6	64.72	4,540
8階	N1-1-801	N1-1	84.22	6,450
8階	N1-2-802	N1-2	71.92	5,240
8階	N1-3-804	N1-3	71.92	5,240
8階	N1-4-806	N1-4	69.60	5,020
8階	N1-5-807	N1-5	64.72	4,580
8階	N1-6-808	N1-6	64.72	4,510
7階	N1-1-701	N1-1	84.22	6,360
7階	N1-2-702	N1-2	71.92	5,200
7階	N1-3-704	N1-3	71.92	5,200
7階	N1-4-706	N1-4	69.60	4,980
7階	N1-5-707	N1-5	64.72	4,550
7階	N1-6-708	N1-6	64.72	4,480
6階	N1-1-601	N1-1	84.22	6,320
6階	N1-2-602	N1-2	71.92	5,170
6階	N1-3-604	N1-3	71.92	5,170
6階	N1-4-606	N1-4	69.60	4,950
6階	N1-5-607	N1-5	64.72	4,520
6階	N1-6-608	N1-6	64.72	4,450
5階	N1-1-501	N1-1	84.22	6,280
5階	N1-2A-502	N1-2A	35.96	1,890
5階	N1-2B-503	N1-2B	35.96	1,890
5階	N1-3A-504	N1-3A	35.96	1,890
5階	N1-3B-505	N1-3B	35.96	1,890
5階	N1-4-506	N1-4	69.60	4,920
5階	N1-5-507	N1-5	64.72	4,490
5階	N1-6-508	N1-6	64.72	4,420
4階	N1-1-401	N1-1	84.22	6,240
4階	N1-2A-402	N1-2A	35.96	1,880
4階	N1-2B-403	N1-2B	35.96	1,880
4階	N1-3A-404	N1-3A	35.96	1,880
4階	N1-3B-405	N1-3B	35.96	1,880
4階	N1-4-406	N1-4	69.60	4,890
4階	N1-5-407	N1-5	64.72	4,460
4階	N1-6-408	N1-6	64.72	4,390
3階	N1-1-301	N1-1	84.22	6,200
3階	N1-2A-302	N1-2A	35.96	1,860
3階	N1-2B-303	N1-2B	35.96	1,860
3階	N1-3A-304	N1-3A	35.96	1,860
3階	N1-3B-305	N1-3B	35.96	1,860
